epoch,train_loss,val_dice_mean,val_dice_std,timestamp
1,0.7498347568511963,0.7134165509603816,0.26718497724101675,2025-10-21T14:40:00.070097
2,0.5826538969576359,0.4787791975138516,0.2531622509297529,2025-10-21T14:46:42.764713
3,0.5225194422900676,0.5064014400423952,0.26240253073682523,2025-10-21T14:53:29.133496
4,0.4985179427266121,0.47598525395593383,0.2605651347125279,2025-10-21T15:00:34.912844
1,0.8010895299911499,0.752929908183686,0.23084157249014473,2025-10-22T15:48:37.763609
2,0.5874311232566833,0.4774066990974918,0.16381482914632847,2025-10-22T15:52:00.126351
3,0.5392548537254334,0.786242540285494,0.24520907991193533,2025-10-22T15:55:24.708406
4,0.4760562199354172,0.8037647941112496,0.22608704779279193,2025-10-22T15:58:43.321386
5,0.4690404316782951,0.6231597548317522,0.25280515057976466,2025-10-22T16:01:50.949211
6,0.45244278252124787,0.7874274868455939,0.2499740613547284,2025-10-22T16:04:53.658198
7,0.43711564511060713,0.824906400640711,0.22498472767615102,2025-10-22T16:08:08.924011
8,0.4726605615019798,0.46787689602407145,0.159132560366602,2025-10-22T16:11:16.546349
9,0.43412918478250506,0.7766287267599187,0.26531399989779036,2025-10-22T16:14:30.722343
10,0.40839753195643425,0.7876283902557726,0.24718193847305858,2025-10-22T16:17:52.817722
11,0.4057536818087101,0.8339204856338229,0.2091318971393017,2025-10-22T16:21:40.803256
12,0.3943391364812851,0.7920121517485356,0.24850642534479955,2025-10-22T16:24:58.908289
13,0.3926406578719616,0.8148626145177895,0.2250133591459378,2025-10-22T16:28:15.388849
14,0.3840614479780197,0.79341173882722,0.2600540453480379,2025-10-22T16:31:32.620101
15,0.3983271299302578,0.812475442044793,0.24108078528814897,2025-10-22T16:34:51.088878
1,1.0199411165714265,0.37035432200062735,0.17520365753912556,2025-11-06T00:04:27.231908
2,0.7946575203537941,0.4874100335873884,0.25029803171303355,2025-11-06T00:04:48.238418
3,0.6610208979249,0.43718291615844224,0.24544908312091307,2025-11-06T00:05:08.694563
4,0.5900405378639698,0.43158167614943627,0.248657206505229,2025-11-06T00:05:29.680953
5,0.5406302113831043,0.7012208736213371,0.2733038895031748,2025-11-06T00:05:50.579599
6,0.5433496199548244,0.49951997622704036,0.25786834875840514,2025-11-06T00:06:11.914498
7,0.49869218409061433,0.5751527673494902,0.2586361870546783,2025-11-06T00:06:33.395645
8,0.47198219850659373,0.513596317929417,0.253810331849298,2025-11-06T00:06:54.788704
9,0.4719159878790379,0.6343338986511197,0.2609510657398121,2025-11-06T00:07:16.210040
10,0.4653520694375038,0.646662970677115,0.25671318699622553,2025-11-06T00:07:37.559332
11,0.4762023030221462,0.7309039685330829,0.2609915787617749,2025-11-06T00:07:59.016271
12,0.4328407549858093,0.5860383725243219,0.2570260149023942,2025-11-06T00:08:21.162565
13,0.3916739784181118,0.5409783054556476,0.2582888529167412,2025-11-06T00:08:42.488184
14,0.40699597537517546,0.6947863400876023,0.2698811527811887,2025-11-06T00:09:02.883569
15,0.39841530449688434,0.4706656817215107,0.2550753881981814,2025-11-06T00:09:23.186257
1,0.7894326284196642,0.6864451399028615,0.28761720001780783,2025-11-19T22:06:24.781184
2,0.5538461188309722,0.6289752617727916,0.28468733907068233,2025-11-19T22:06:41.919577
3,0.4680666411502494,0.6086824321201446,0.27204962126003984,2025-11-19T22:06:57.732080
4,0.4397745796127452,0.4734061351521926,0.3725239488903214,2025-11-19T22:07:13.429359
5,0.4093053401013215,0.347814310223869,0.3631554191859819,2025-11-19T22:07:29.108035
6,0.3897780444473028,0.5273817068955848,0.3607502751488654,2025-11-19T22:07:44.939814
7,0.37383608697189225,0.5021419295425446,0.3506388393836155,2025-11-19T22:08:06.201015
8,0.36016107737604114,0.6423172137331454,0.31499456397632336,2025-11-19T22:08:31.092225
9,0.3510522341976563,0.5580819107147074,0.3684744310724022,2025-11-19T22:08:56.216970
10,0.3331337219518092,0.09530320828271249,0.14431294062913297,2025-11-19T22:09:21.688487
11,0.33127013040085634,0.45961258606885436,0.35096645697078527,2025-11-19T22:09:46.947782
12,0.3144315001534091,0.6481328457983331,0.3084599820045389,2025-11-19T22:10:11.897592
13,0.31327053794844284,0.556724470817455,0.3621673123205083,2025-11-19T22:10:28.216863
14,0.296070160265598,0.17673869405603712,0.2877877330558664,2025-11-19T22:10:44.404428
15,0.2883370589547687,0.6614655875599953,0.26763430570087365,2025-11-19T22:11:09.330825
