epoch,total_loss,clean_loss,robust_loss,val_clean_dice,val_robust_dice,timestamp
1,0.36176751753888453,0.357627522931076,0.008279988698030557,0.7345973384511864,0.6211327084488504,2026-01-01 14:38:31.926402
2,0.2735611641851182,0.26845800554236543,0.010206318501514034,0.7270454451325296,0.6336228133523821,2026-01-01 14:42:35.864800
3,0.24558777204499796,0.23976855555262702,0.011638432661073658,0.27513721176845085,0.17996183332181304,2026-01-01 14:46:40.215957
4,0.22548022197129636,0.21931006274759196,0.012340319142633513,0.4868987430177796,0.3720245221058802,2026-01-01 14:50:37.846678
5,0.21168064199602948,0.20587529393557746,0.011610696000165122,0.550408053865381,0.4352262101768026,2026-01-01 14:54:44.131833
6,0.1961360262850156,0.19038242243516904,0.011507207077626775,0.15184542700509793,0.06854071913537937,2026-01-01 14:58:51.250354
7,0.19329135752856158,0.18724674673822636,0.012089221223756724,0.5788588633429061,0.4881055509141449,2026-01-01 15:02:54.737082
8,0.1860408665970541,0.17992374587517518,0.012234242698342803,0.6170522286716658,0.5245452220734418,2026-01-01 15:07:01.689884
9,0.17997985620123264,0.17415431707810897,0.011651077826144711,0.38503242305424146,0.2864872932964516,2026-01-01 15:11:07.866893
10,0.17487177481301702,0.16943810554937674,0.010867339104627788,0.4363949715462922,0.2909750974635923,2026-01-01 15:15:15.841857
11,0.16984583777017317,0.16420944299584683,0.01127278935414674,0.48099253492762695,0.3816835435622065,2026-01-01 15:19:22.815243
12,0.16728795030727409,0.16154982728811984,0.011476246316529937,0.5001329195072364,0.3863398600993412,2026-01-01 15:23:27.080007
13,0.16085123660472722,0.1553521282881355,0.0109982166777347,0.4464493877002668,0.3404116337109261,2026-01-01 15:27:31.773324
14,0.15788150458919029,0.15229476840020373,0.011173472066716036,0.4405845442901846,0.35604715345356897,2026-01-01 15:31:38.118989
15,0.1538034684669513,0.14836374627462087,0.010879444557891615,0.5458056689073438,0.4424873495767981,2026-01-01 15:35:45.584675
