epoch,train_loss,val_clean_dice,val_robust_dice,alpha
1,0.3904370932768171,0.5579604206308172,0.4202909391646578,0.5
2,0.28644718903904925,0.4124167521256845,0.2671584972592006,0.5
3,0.24967930291134577,0.7122264267127416,0.618481037849374,0.5
4,0.23063154651138645,0.632072782940388,0.5085258519565662,0.5
5,0.21093736208545474,0.7571183291075593,0.6617109336267781,0.5
6,0.19956827571329017,0.5859696849524176,0.4801156681983136,0.5
7,0.18753310388777977,0.2883651708252382,0.17762570197187813,0.5
8,0.18742667679997305,0.43746616721198833,0.3708848157361569,0.5
9,0.17720821980709353,0.6107498966495697,0.54159820002063,0.5
10,0.16678211251631953,0.3981085586803652,0.27450864593026,0.5
11,0.16270160326519265,0.17372990982466072,0.10630982355778854,0.5
12,0.16510847779707266,0.3373663685518305,0.20557992893086333,0.5
13,0.16148876712585872,0.3712058663645471,0.25864095684137495,0.5
14,0.15431056371531807,0.5154449071839597,0.4262925101369676,0.5
15,0.14961351445840243,0.08882253790329499,0.04718047011534735,0.5
