epoch,train_loss,val_clean_dice,val_robust_dice,alpha
1,0.35722647843739164,0.6717509301030191,0.5820274804103984,1.0
2,0.25830911876132284,0.6071660225044796,0.5378266935229581,1.0
3,0.23041045821558398,0.5701555202112254,0.40731245116272935,1.0
4,0.21506879105805776,0.7564250275946663,0.6627227402485574,1.0
5,0.1984924861122496,0.7545400834232803,0.6926357216116041,1.0
6,0.18960540330825518,0.6831537784774718,0.602098506091851,1.0
7,0.18398925866394375,0.3923626195855382,0.2553176992306361,1.0
8,0.17381973230065062,0.553364216242609,0.4642730182312643,1.0
9,0.1738356281752483,0.48801099322671904,0.3716463111168186,1.0
10,0.16878826725296675,0.39330929818236066,0.3026723055370266,1.0
11,0.16074307227793794,0.614664957777143,0.5335444513807666,1.0
12,0.15798550406829096,0.6463100470596889,0.5681023177866694,1.0
13,0.169163383047383,0.5643764245477424,0.45867586371560143,1.0
14,0.15220111376211906,0.6298222054755448,0.5293130923675922,1.0
15,0.15053476094662283,0.6521480806532997,0.5561004630991555,1.0
