epoch,train_loss,val_clean_dice,val_robust_dice,alpha
1,0.37341918845016225,0.14020620288164143,0.11378489272501344,0.0
2,0.2536711551857969,0.5732996076626492,0.47220091025006256,0.0
3,0.2161514886153432,0.7145878128703466,0.6145182045526665,0.0
4,0.1947217195545538,0.45695165845089775,0.3524258992776219,0.0
5,0.18281405477139812,0.44919441445901404,0.3283007234900619,0.0
6,0.17359348294826654,0.7398600322946138,0.6377109608416734,0.0
7,0.16499634409466615,0.6583918395409512,0.5260980568290615,0.0
8,0.16568775802779084,0.7305294527090662,0.6479708032260413,0.0
9,0.15522078879607412,0.4250404823106647,0.3162901126717657,0.0
10,0.1513274056586222,0.5234373809213421,0.3439626788605979,0.0
11,0.14689436001309122,0.34510889706616693,0.2608345920768567,0.0
12,0.14859120690424998,0.3504699938508354,0.24158327116392514,0.0
13,0.13827105722694585,0.3806860985488243,0.2751631142243921,0.0
14,0.1405519644693973,0.7214093680121705,0.619843719826999,0.0
15,0.14108970276474092,0.42219829802403785,0.33591905291739727,0.0
