epoch,train_loss,val_clean_dice,val_robust_dice,alpha
1,0.3552323670699619,0.7409264767543039,0.627885930088075,0.7
2,0.27233161326641075,0.6889853904092774,0.5857752095239676,0.7
3,0.2349574447537844,0.5211899596831125,0.45017450021700284,0.7
4,0.21878475909694456,0.7621882705997782,0.683870811644678,0.7
5,0.20908219408458814,0.7629314359580393,0.6560109242596492,0.7
6,0.19697991475247992,0.6313633922665562,0.5294220077997069,0.7
7,0.18828294709181556,0.615667155704832,0.5281708683874499,0.7
8,0.18577696008142083,0.6944398910815929,0.542524566527609,0.7
9,0.17258788507539205,0.3832293083952852,0.2934922597783241,0.7
10,0.17273742849938573,0.17496609840965932,0.1383136146517085,0.7
11,0.17134226377910147,0.7106709311614953,0.6225115936431759,0.7
12,0.16588263384496363,0.7354937842520897,0.6650332626683938,0.7
13,0.15652564502715205,0.7038153511806428,0.5962513789774723,0.7
14,0.1598296483208497,0.4912359647702045,0.37732771143181476,0.7
15,0.1577254177769646,0.7499374892534201,0.6613644153138044,0.7
