epoch,train_loss,val_clean_dice,val_robust_dice,alpha
1,0.34568712260000983,0.7191508957159861,0.6400698649093645,0.3
2,0.2600746125054474,0.6983896111100165,0.5480029111094985,0.3
3,0.232670450472058,0.4969848784193365,0.3780981144736462,0.3
4,0.2094360928875036,0.6175985527728277,0.5037480392475101,0.3
5,0.20518441662514725,0.5972932520429933,0.44175123203703004,0.3
6,0.18863566513889685,0.6943597596266055,0.6020829018223703,0.3
7,0.17823953666688444,0.7597271662465743,0.6806910664582315,0.3
8,0.17539466129651723,0.768498299751471,0.680891833301761,0.3
9,0.16855905699328735,0.7535407214812088,0.6782674035244343,0.3
10,0.15969274397043942,0.7796588877602889,0.6820096008980794,0.3
11,0.16251294671808583,0.7616706421981333,0.6603695118570023,0.3
12,0.15289895724720107,0.5866648297212569,0.4938486598166116,0.3
13,0.1502789254192836,0.7518747576904283,0.6641051834607714,0.3
14,0.15063162008031772,0.6781824860088459,0.5480401872796502,0.3
15,0.14629125358948772,0.740918416743281,0.6353008595554029,0.3
