epoch,train_loss,val_dice_mean,val_dice_std,timestamp
1,0.39899231931363993,0.8815646868556516,0.13778198840406136,2026-01-22T23:00:44.410018
2,0.17177875027907166,0.936907061994166,0.05244027392802909,2026-01-22T23:09:00.233933
3,0.1366918044791303,0.9177683256495418,0.1056144540188782,2026-01-22T23:21:05.560587
4,0.11893240359527144,0.9535992870110767,0.04672659570502478,2026-01-22T23:30:13.008811
5,0.1088894626582888,0.9401334138371842,0.06684645721431882,2026-01-22T23:37:56.958497
6,0.10204795282757417,0.9430273383454744,0.07595011734709844,2026-01-22T23:45:36.502593
7,0.09441398013213818,0.9483776560689239,0.054852989141160505,2026-01-22T23:53:29.878083
8,0.08941659424369308,0.9458226225888094,0.06185455132812341,2026-01-23T00:01:14.043645
9,0.0858367451348088,0.9552825536222446,0.056330166954952084,2026-01-23T00:09:02.013641
10,0.08051591734655879,0.9365577284014839,0.08502296491997541,2026-01-23T00:16:50.399521
11,0.07848288379440253,0.9587767157075793,0.06078460273861211,2026-01-23T00:25:14.066297
12,0.07626535728319803,0.9605629488190358,0.045457718126850434,2026-01-23T00:31:41.156417
13,0.07188940866765652,0.9067919448628338,0.12639223951207965,2026-01-23T00:38:09.083909
14,0.07129440721209077,0.9599004079468796,0.054271658008420494,2026-01-23T00:44:37.681544
15,0.06889050007205118,0.9610878012778818,0.06143408694489333,2026-01-23T00:51:04.877840
