epoch,train_loss,val_dice_mean,val_dice_std,timestamp
1,0.8029102788203293,0.7261537111327617,0.25935216672785466,2025-12-11T01:29:46.435811
2,0.564568898561928,0.5212501513376853,0.2883436277942695,2025-12-11T01:30:13.132393
3,0.465443188018269,0.5093811503233017,0.32247412690826166,2025-12-11T01:30:39.923075
4,0.43153473066786924,0.5145245888485099,0.33214981052841563,2025-12-11T01:31:07.026880
5,0.4097492484831148,0.37016592852659946,0.32915017177294664,2025-12-11T01:31:33.586201
6,0.3881999158817861,0.575642220737035,0.2882698484922686,2025-12-11T01:32:00.020822
7,0.36187322791665794,0.48900046520839074,0.3394163505206758,2025-12-11T01:32:26.254321
8,0.34374108486705357,0.7194403657405809,0.2594455792532928,2025-12-11T01:32:52.776713
9,0.33736623951544364,0.6109588254242572,0.3065760882656856,2025-12-11T01:33:19.224301
10,0.31841820665117765,0.5020699493839689,0.28276665344286117,2025-12-11T01:33:45.486375
11,0.3233914176126321,0.519966081123124,0.3262579232983312,2025-12-11T01:34:11.885335
12,0.3017283052288824,0.7476671141662128,0.22814311106161736,2025-12-11T01:34:38.424138
13,0.29946065732588373,0.6093915099005541,0.32065147661937493,2025-12-11T01:35:05.263960
14,0.28864088751789596,0.39683765071107197,0.34244109109384563,2025-12-11T01:35:31.741066
15,0.2919396443085538,0.7278362853394499,0.24553135216916197,2025-12-11T01:35:58.080241
S1,0.7942478085060914,0.6346517666072586,0.2695884349135831,2025-12-11T17:08:18.192593
2,0.5325496801733971,0.6755358604535441,0.2545486468260053,2025-12-11T17:08:36.021705
3,0.44390876022477943,0.4062434459844158,0.3231010585567964,S2025-12-11T17:08:52.904803
4,0.4167710350122717,0.29134418204996076,0.3293472951705916,2025-12-11T17:09:09.041982
5,0.3841944803049167,0.33778446202008505,0.33730482853037697,2025-12-11T17:09:23.675338
6,0.3708134443933765,0.20292261144482138,0.3031098347368309,2025-12-11T17:09:38.307771
7,0.354376876892315,0.4887018833946501,0.3345832047939706,2025-12-11T17:09:52.74542DS0
8,0.33855621026208005,0.6618197712161364,0.31110237469120433,2025-12-11T17:10:07.153273
9,0.3275377898870243,0.4535255898432054,0.3396244821516102,2025-12-11T17:10:22.298472
10,0.31061355795711276,0.45259202074684873,0.31084498458244314,2025-12-11T17:10:38.273370
11,0.3129352198582557,0.5828055515958759,0.2878218222224753,2025-12-11T17:10:54.537014
12,0.3002756056106753,0.6326786326929835,0.3003007317111024,2025-12-11T17:11:10.517413
13,0.29425416217909917,0.4789272673726364,0.33135502024964125,2025-12-11T17:11:25.524538
14,0.28063385892659426,0.20335589364545137,0.2788545697676477,2025-12-11T17:11:39.871719
15,0.28577509133352175,0.6682624869488355,0.24964429870167704,2025-12-11T17:11:54.219346
1,0.7954382652375434,0.7410383494977419,0.22013496498805682,2025-12-11T17:14:58.228867
2,0.542770272427135,0.467504775566147,0.29583426988593914,2025-12-11T17:15:14.205386
3,0.4612490158362521,0.2990776044759431,0.3000470899939592,2025-12-11T17:15:32.334696
4,0.42105656484762827,0.27951651126031346,0.3333861260049897,2025-12-11T17:15:49.857163
5,0.3882725759016143,0.4654486891681629,0.34250980436895934,2025-12-11T17:16:07.170610
6,0.3604323675400681,0.43114997775061203,0.3355748430107783,2025-12-11T17:16:24.212984
7,0.3618416867653529,0.6255407835179053,0.3049810558678702,2025-12-11T17:16:41.094474
8,0.3403264005564981,0.7073419315639087,0.2639391124895287,2025-12-11T17:16:57.677960
9,0.32483094084180064,0.6193045990255945,0.29973009228857656,2025-12-11T17:17:12.393168
10,0.31080221079289916,0.6629810092440723,0.2228265263915002,2025-12-11T17:17:27.043106
11,0.31515907822383776,0.6576040605278198,0.245067479080996,2025-12-11T17:17:41.870785
12,0.30281919995115864,0.7391548761628972,0.24489776704841815,2025-12-11T17:17:56.685339
13,0.28973660181793903,0.5845305250510106,0.32207601389768736,2025-12-11T17:18:13.277442
14,0.2776606124556727,0.182530847980125,0.2751904359052454,2025-12-11T17:18:31.388462
15,0.2770699304507838,0.7139752966009479,0.23694263382061828,2025-12-11T17:18:47.280180
