epoch,train_loss,val_dice_mean,val_dice_std,timestamp
1,0.7609927418331305,0.7525331415124961,0.2595485233069668,2025-12-03T19:37:33.943796
2,0.5306741601394283,0.7326572819775591,0.23259009215199802,2025-12-03T19:38:57.861941
3,0.46144882965419026,0.6973387796151375,0.2712212479759501,2025-12-03T19:40:13.613136
4,0.4305084573560291,0.716911989858971,0.22124724936087464,2025-12-03T19:41:26.289892
5,0.40186986409955555,0.7539369845538662,0.21414147158231983,2025-12-03T19:42:41.771758
6,0.37477997687127856,0.7441496328897642,0.22301892656174555,2025-12-03T19:43:47.218759
7,0.35582299476696383,0.7417573531668892,0.2553795896031762,2025-12-03T19:44:51.264804
8,0.3411237454538544,0.7562667723785583,0.21699709632512829,2025-12-03T19:45:59.328724
9,0.3191846909167038,0.7645414481391888,0.18484140095186147,2025-12-03T19:47:24.230530
10,0.3392831543212136,0.6897207772887306,0.22902078541880813,2025-12-03T19:48:50.544055
11,0.31304902348667385,0.7564187384136186,0.1996957280389679,2025-12-03T19:50:27.933423
12,0.31436105304708084,0.7711040644501485,0.21233412411180208,2025-12-03T19:51:55.435552
13,0.3010249529282252,0.7414923071881455,0.19372885787215077,2025-12-03T19:53:24.494388
14,0.3058929540589452,0.7428041929423501,0.24834030419771433,2025-12-03T19:54:56.462730
15,0.3069335590841042,0.6638780394888076,0.22585160235017757,2025-12-03T19:56:31.501068
